time_btjd,relative_flux_ppm,relative_flux_error_ppm,sector,sample
1955.8024567647506,-258.53435018553006,21.625308350997678,24,control
1955.8239851339083,15.745374640967768,22.33587197265221,24,control
1955.8448175479605,133.2628884302625,22.336008208738722,24,control
1955.865649984637,107.55823983812812,22.335704594288277,24,control
1955.8864828957933,124.5909595413703,22.33580449346744,24,control
1955.9073156745903,63.42722937778671,22.334756037470925,24,control
1955.9281484247997,-3.1459174391312996,22.335521077981102,24,control
1955.9489812999234,18.963503649948038,22.33609739381542,24,control
1955.9698136155343,-95.83207075693751,22.335424378879683,24,control
1955.9906461255557,-83.64923800548418,22.33520157609498,24,control
1956.0114793599716,-118.77425620408596,22.335179690523738,24,control
1956.0323121469587,-36.88343878123408,22.33647264670733,24,control
1956.0531450038864,-47.55110945807445,22.33618156756013,24,control
1956.0739776982587,-79.90512079004684,22.336382083465114,24,control
1956.0948100538376,-103.36115464978096,22.336113429881078,24,control
1956.1156426527095,-196.64959393504833,22.335452154326155,24,control
1956.1364757319384,-177.72234447664607,22.335911159899698,24,control
1956.1573090124327,-210.82103092139855,22.335252570857577,24,control
1956.1781416069246,-203.24776617604704,22.33649567765139,24,control
1956.1989743924005,-280.0156778528544,22.33644960363941,24,control
1956.2198066792832,-294.2328267358856,22.336232547129143,24,control
1956.2406391988015,-188.2171669950247,22.336585171348506,24,control
1956.261472900296,-274.9484514290627,22.336441990476832,24,control
1956.2823044162853,-178.1816252656137,22.338108060446213,24,control
1956.3031377406614,-230.06670193007218,22.338851658702772,24,control
1956.323970349965,-235.0665596640238,22.340350237623486,24,control
1956.3448028748264,-236.58335167930574,22.341893118762012,24,control
1956.3656358706774,-293.0070577884458,22.344443837120995,24,control
1956.3864675680338,-309.29235958893986,22.347329453516505,24,control
1956.4073014919418,-264.3838470300696,22.350910995507643,24,control
1956.4281338590115,-384.3654884191543,22.353641124549956,24,control
1956.4489666594814,-316.9311598728606,22.357841813602455,24,control
1956.4697987849931,-293.9641619892752,22.3622534912303,24,control
1956.4906317996686,-294.65044425081066,22.365766669822484,24,control
1956.511463964343,-212.15749439443275,22.371425697262758,24,control
1956.5322968230744,-286.39668368021546,22.375700723409672,24,control
1956.553129425964,-300.42788146356594,22.379495552043636,24,control
1956.5739623831744,-139.36009101881757,22.385685186119204,24,control
1956.594795101527,-206.3073889521879,22.38984688324273,24,control
1956.6156280069843,-114.85223236248675,22.3950474028104,24,control
1956.636460333073,-201.09809605557808,22.39937391804194,24,control
