Star,n_rv,n_runs,baseline_days,median_internal_error_mps,raw_wrms_mps,era_demeaned_wrms_mps,gls_best_period_days,gls_best_power,gls_analytic_fap,activity_pairs,shk_slope_mps_per_unit,shk_slope_error,activity_corrected_wrms_mps
HD 10476,139,2,877.8316899999045,0.31,1.799051249477123,1.7935947342021028,59.82905831642917,0.3874199832621783,1.0192458478184266e-11,139,53.36150074039779,2.004241892152261,1.64030123896817
HD 10700,602,3,1110.0116099999286,0.2799999999999999,1.2780324634198286,1.0205767684440088,122.60774260473082,0.3061481034567282,5.40650307292714e-44,602,-236.40593356638453,30.11747926653215,1.0164715632751111
HD 10780,92,2,1001.9525500000454,0.33,2.4075440677881104,2.3993132825204984,25.524913953084454,0.4003058582834813,1.890654743510317e-07,92,125.8934590219045,3.19414377079221,1.9679135584551168
HD 110897,114,2,969.6926199998708,0.53,1.8623573975901415,1.8555468971377973,460.43149123269296,0.2649203626955871,5.412222248481298e-05,114,871.6480680823694,31.95275057316624,1.2444963839690115
HD 115617,207,3,1228.7532299999148,0.2599999999999999,3.473864799360776,3.383752197110671,37.954737104553104,0.5196711975212714,1.944544656070563e-29,207,-163.94042588560464,40.71010031442234,3.382927050750566
HD 116442,88,2,913.7510400000028,0.4,0.7115633177948716,0.6496821271516294,40.62168512608,0.2480142076106231,0.0052706930016401,88,17.43113346641214,21.87106111225354,0.6487459370641012
HD 126053,100,2,937.676419999916,0.43,1.523886136017214,1.4274766972788384,10.929646200099691,0.251522011315044,0.0009254665930572,100,537.7230001956565,46.58398043771797,1.3347792884386325
HD 127334,410,3,1269.702630000189,0.31,1.1391030085628793,1.0152899151186905,376.4604326317441,0.1912664635840344,1.327780432870345e-15,410,78.55555414384189,31.28309900970705,1.014506329372893
HD 143761,128,3,1252.8582000001334,0.36,47.88371102901774,47.18738074060487,39.87152079910748,0.9617939022205908,3.754318217057103e-85,128,-2478.777311205284,92.8360398819779,47.17964183292465
HD 146233,79,2,884.7488799998537,0.32,2.9592037846371624,2.1414555046393877,19.873289783488776,0.3027397077837427,0.0010208035466732,79,270.09261106413845,10.76863915314532,1.9365541166038187
HD 154345,79,2,1001.2400000002236,0.38,6.214534261471615,3.33743230368818,10.05404250351274,0.1887669982421024,0.2038309678693907,79,32.71442462332882,4.626115177292379,3.3230568253891404
