visit,hansolo_minus_stark_ppm,naive_independent_error_ppm,standardized_difference,independence_warning
1,-18.374679519950476,4.8858738608247005,-3.7607764840758624,same photons; standardized value is descriptive only
2,-51.78528904774426,4.584714393145515,-11.29520502414874,same photons; standardized value is descriptive only
3,-67.74964450876153,6.580980711777825,-10.294764181197431,same photons; standardized value is descriptive only
4,-85.52556957581419,5.940423692421354,-14.39721710169017,same photons; standardized value is descriptive only
5,-64.02622953413993,6.377826017977478,-10.038879918277198,same photons; standardized value is descriptive only
